,title,artist,week,time_wide,time_narrow,uri
256,Bad and Boujee,"['Migos', 'Lil Uzi Vert']",2017 04,man 23. januar 2017,23. jan,spotify:track:0M9ydKzuF3oZTfYYPfaGX1
257,Cracks,['Soleima'],2017 03,man 16. januar 2017,16. jan,spotify:track:1hK0RW9J7P9gVdrFmgTmfG
258,After the Afterparty,"['Charli XCX', 'Lil Yachty']",2016 50,man 12. december 2016,12. dec,spotify:track:7DqEhJ7raApUSeSV07FNM4
259,Damage Done,['NorÃ©ll'],2016 49,man 5. december 2016,5. dec,
260,Make Me (Cry),"['Noah Cyrus', 'Labrinth']",2016 48,man 28. november 2016,28. nov,spotify:track:2BrzlUj1u1CtvaJDGIKpsP
261,Love$ick,"['Mura Masa', 'A$AP Rocky']",2016 47,man 21. november 2016,21. nov,spotify:track:3sTN90bIP2cJ1783ctHykO
262,On Hold,['The xx'],2016 46,man 14. november 2016,14. nov,spotify:track:5w3CRkbTWXfbYepIdFpGUN
263,Dye My Hair,['Alma'],2016 45,man 7. november 2016,7. nov,spotify:track:0D1HwHvhwjAoTdsmgxATuG
264,Alaska,['Maggie Rogers'],2016 44,man 31. oktober 2016,31. okt,spotify:track:4HfLQJtVT1KiX1eVedDyTm
265,Love to Hate It,['Off Bloom'],2016 43,man 24. oktober 2016,24. okt,spotify:track:5pCl0xRFTB6YBbCZuY808A
266,Higher Love,['Alex Vargas'],2016 42,man 17. oktober 2016,17. okt,spotify:track:7sa5IK8hAlMocqXRzgaS3V
267,All Time Low,['Jon Bellion'],2016 41,man 10. oktober 2016,10. okt,spotify:track:1CnPYaKxTVb4LWOtiGOm0m
268,Can't Remember How It Feels,['Chinah'],2016 40,man 3. oktober 2016,3. okt,spotify:track:2lkcEcnwXeB6JuspLocb5T
269,Luv,['Tory Lanez'],2016 39,man 26. september 2016,26. sep,spotify:track:16Ah4QqH4mgYVXqfC4mdSd
270,Doorstep,['Anya'],2016 38,man 19. september 2016,19. sep,spotify:track:4GTAnoPNSWBFYwPDJHyZsy
271,Human,"[""Rag'n'Bone Man""]",2016 37,man 12. september 2016,12. sep,spotify:track:58zsLZPvfflaiIbNWoA22O
272,Sexual,"['Neiked', 'Dyo']",2016 36,man 5. september 2016,5. sep,spotify:track:5fKBwqSTuCbnJlCOpeRa3o
273,Starving,"['Hailee Steinfeld', 'Grey', 'Zedd']",2016 35,man 29. august 2016,29. aug,spotify:track:4Ce37cRWvM1vIGGynKcs22
274,Way Down We Go,['Kaleo'],2016 34,man 22. august 2016,22. aug,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6
275,Capsize,['Emily Warren & Frenship'],2016 33,man 15. august 2016,15. aug,spotify:track:1feebjQLo4D91KPWCYrU3z
276,This Girl,"['Kungs', ""Cookin' On 3 Burners"", 'Kylie Auldist']",2016 26,man 27. juni 2016,27. jun,spotify:track:1A8j067qyiNwQnZT0bzUpZ
277,Aftergold,"['Big Wild', 'Tove Styrke']",2016 25,man 20. juni 2016,20. jun,spotify:track:175TH8biBcVV8j4y2NqGTP
278,Bara fÃ¥ va mig sjÃ¤lv,['Laleh'],2016 24,man 13. juni 2016,13. jun,spotify:track:2FnUyLhe7sjXgnZlK9sc0z
279,Alt er fint,['Karl William'],2016 23,man 6. juni 2016,6. jun,spotify:track:5hnjF9iebR9SpzFySpkpDx
280,Wild Child,"['Kongsted', 'Cisilia']",2016 22,man 30. maj 2016,30. maj,spotify:track:2ntx71h6E1MPYvorPdMA38
281,Home,"['Topic', 'Nico Santos']",2016 21,man 23. maj 2016,23. maj,spotify:track:5G5IX0zeEIYhHKe71Zecx6
282,Dancing on the Sun,['Bahari'],2016 20,man 16. maj 2016,16. maj,spotify:track:2HXZ85JaPl7YzeEXB2Ubn9
283,Don't Mind,['Kent Jones'],2016 19,man 9. maj 2016,9. maj,spotify:track:27PmvZoffODNFW2p7ehZTQ
284,DrÃ¸mmefanger,['Pauline'],2016 18,man 2. maj 2016,2. maj,spotify:track:5pQjhViKFRZBHgsBxNxd86
285,"I Hate U, I Love U","['Gnash', ""Olivia O'Brien""]",2016 17,man 25. april 2016,25. apr,spotify:track:7vRriwrloYVaoAe3a9wJHe
286,Breathe,"['SeeB', 'Neev']",2016 16,man 18. april 2016,18. apr,spotify:track:0CvTKt7jr68v4YEg9oATjX
287,Don't Let Me Down,"['The Chainsmokers', 'Daya']",2016 15,man 11. april 2016,11. apr,spotify:track:1i1fxkWeaMmKEB4T7zqbzK
288,Show Me Love (Skrillex Remix),"['Hundred Waters', 'Chance the Rapper', 'Moses Sumney', 'Robin Hannibal']",2016 14,man 4. april 2016,4. apr,spotify:track:6Ogf667mRn7TzXtpS15SBx
289,Come Closer,"['Faustix', 'David Jay']",2016 13,man 28. marts 2016,28. mar,spotify:track:70Cm5oZVkN7ggBU0jD1Mhq
290,Sorry,['Liss'],2016 12,man 21. marts 2016,21. mar,spotify:track:2Bfh4gg5OMmXtTFs9945cx
291,Thinking About It (Let It Go) (KVR Remix),['Nathan Goshen'],2016 11,man 14. marts 2016,14. mar,spotify:track:0yJv0G7r1PZIl1CY5XhvkR
292,Be the One,['Dua Lipa'],2016 10,man 7. marts 2016,7. mar,spotify:track:1ixphys4A3NEXp6MDScfih
293,Ingen hÃ¸rer,['Ukendt Kunstner'],2016 09,man 29. februar 2016,29. feb,spotify:track:51xvFEYieUR6552SXV9b5u
294,Est-ce que tu m'aimes ?,['MaÃ®tre Gims'],2016 08,man 22. februar 2016,22. feb,spotify:track:3a9TMd2Yrza6HXqqlfMtfy
295,Never Be Like You,"['Flume', 'Kai']",2016 07,man 15. februar 2016,15. feb,spotify:track:476j7IDRIDRvv1Xu71EVc8
296,Stressed Out,['Twenty One Pilots'],2016 06,man 8. februar 2016,8. feb,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
297,I'm in Control,"['AlunaGeorge', 'Popcaan']",2016 05,man 1. februar 2016,1. feb,spotify:track:6SLTPbDxDYR0uSMTT7gSb7
298,Shackled Up,['Alex Vargas'],2016 04,man 25. januar 2016,25. jan,spotify:track:0Lyp29r2FwBglXo3DOGeDh
299,Tidligt op,['Gilli'],2016 03,man 18. januar 2016,18. jan,spotify:track:5GqBuGhnj9Km3LlOcaN101
300,Bloodsport ‘15,['Raleigh Ritchie'],2016 02,man 11. januar 2016,11. jan,spotify:track:2tZnaXqheBRWXnYwRFE8Ey
301,All Hours,['Julie Bergan'],2015 50,man 7. december 2015,7. dec,spotify:track:01opyHvH01jYVd8zWeQSgQ
302,JaJa,['Sivas'],2015 49,man 30. november 2015,30. nov,spotify:track:51KFbujmAW3rHTZDD5heQe
303,Eller ik,"['Katie Keller', 'Bai-D']",2015 48,man 23. november 2015,23. nov,spotify:track:6E9HN7zEPgiPYwle5pwJkq
304,Miracles,"['Martin Jensen', 'BjÃ¸rnskov']",2015 47,man 16. november 2015,16. nov,spotify:track:7cV0xhXZOPhdlBUODvCrDZ
305,Gold,['Kiiara'],2015 46,man 9. november 2015,9. nov,spotify:track:6ZSO7kPn8IMJFymyticbJO
306,Flesh Without Blood,['Grimes'],2015 45,man 2. november 2015,2. nov,spotify:track:62jc4VA6WPoANaL9Duu8db
307,Love Me,['The 1975'],2015 44,man 26. oktober 2015,26. okt,spotify:track:2HklyUw3TR56nVyVJAIhw5
308,Levitate Me,['Saveus'],2015 43,man 19. oktober 2015,19. okt,spotify:track:3xTX2q4eB4PhHSENrOMHd3
309,Dessert,['Dawin'],2015 42,man 12. oktober 2015,12. okt,spotify:track:3mg29Lwvo673TkDhE3kB9W
310,Hurt Me,['LÃ¥psley'],2015 41,man 5. oktober 2015,5. okt,
311,Stitches,['Shawn Mendes'],2015 40,man 28. september 2015,28. sep,spotify:track:3zkWCteF82vJwv0hRLba76
312,Pregnant,['Phlake'],2015 39,man 21. september 2015,21. sep,spotify:track:0T8dNUoyjJHM2zDgIPK83L
313,Wild,['Troye Sivan'],2015 38,man 14. september 2015,14. sep,spotify:track:0xexXKZ1CAIrNHhTUX5Qkh
314,Bad Bitches,['Nayah'],2015 37,man 7. september 2015,7. sep,spotify:track:3ZcM4lk2pJrXe0j5TXJ02v
315,New Americana,['Halsey'],2015 36,man 31. august 2015,31. aug,spotify:track:6Xs7OKt6i0Ddq8B4M5Dgvr
316,Love Myself,['Hailee Steinfeld'],2015 35,man 24. august 2015,24. aug,spotify:track:36phXHOKx8rO7CMp2vNX4x
317,Stjerner pÃ¥ himlen,['The Minds of 99'],2015 34,man 17. august 2015,17. aug,spotify:track:5YQQja967EmqiE5KeqJ4sV
318,There Is Always Hope,['The Mountains'],2015 27,man 29. juni 2015,29. jun,spotify:track:7hKX7znuadL43fYFbn0AXK
319,Show Me Love,"['Sam Feldt', 'Kimberly Anne']",2015 26,man 22. juni 2015,22. jun,spotify:track:6ksRossV4vKsXntCCZbhaM
320,Can't Feel My Face,['The Weeknd'],2015 25,man 15. juni 2015,15. jun,spotify:track:22VdIZQfgXJea34mQxlt81
321,Watch Me (Whip / Nae Nae),['Silento'],2015 24,man 8. juni 2015,8. jun,spotify:track:5RIVoVdkDLEygELLCniZFr
322,Ny Champagne,"['Camilo', 'Grande']",2015 23,man 1. juni 2015,1. jun,spotify:track:1VheuMPggHpnznB4HY7IvA
323,Snap Back,['Anya'],2015 22,man 25. maj 2015,25. maj,spotify:track:1ncIKJPVpCddT4s73bmLcv
324,Love Me Badder,['Elliphant'],2015 21,man 18. maj 2015,18. maj,spotify:track:3RtuzesB8hFETgOwj8ojzP
325,Himlen for mig selv,['Wafande'],2015 20,man 11. maj 2015,11. maj,spotify:track:7EZxz3EIZaC08POsyIfIFs
326,Do You Remember,['Jarryd James'],2015 19,man 4. maj 2015,4. maj,spotify:track:1F2VIrr9oh7MwkI3NyLtHJ
327,No Words,['Erik Hassle'],2015 18,man 27. april 2015,27. apr,spotify:track:2kSiSU6KMxTuT7tJ8TwoIq
328,Yoga,"['Janelle MonÃ¡e', 'Jidenna']",2015 17,man 20. april 2015,20. apr,spotify:track:3IJCSQoLF4YzPAKaxq2JLb
329,BlÃ¸d inden i,['ThÃ¸ger Dixgaard'],2015 16,man 13. april 2015,13. apr,
330,Goodbye,"['Feder', 'Lyse']",2015 15,man 6. april 2015,6. apr,spotify:track:3PnOOmkxruDDAiMYZZTgO7
331,Seoul,['Wangel'],2015 14,man 30. marts 2015,30. mar,spotify:track:3KWF2lNjpx3KC5TS42guQG
332,Goodbye,['Who Is Fancy'],2015 13,man 23. marts 2015,23. mar,spotify:track:6K5xY7EabiBLjd2HuBQIak
333,80'eren,['Bikstok'],2015 12,man 16. marts 2015,16. mar,spotify:track:2i9KmIfbV4jdQjTvQTi8uy
334,Nothing Without Love,['Nate Ruess'],2015 11,man 9. marts 2015,9. mar,spotify:track:0oPDrdHQwkjaT0aytZavUO
335,Lean On,"['Major Lazer', 'DJ Snake', 'MÃ¸']",2015 10,man 2. marts 2015,2. mar,spotify:track:4WxU1gDVmoH6gstgR0MT78
336,Marilyn,['Patrick Dorgan'],2015 09,man 23. februar 2015,23. feb,spotify:track:7fsypdDLYbe8Ab2y4ASw8B
337,Teach Me,"['Joey Bada$$', 'Kiesza']",2015 08,man 16. februar 2015,16. feb,spotify:track:0RZx763PZaGsBI66gSnW44
338,Talk Is Cheap,['Chet Faker'],2015 07,man 9. februar 2015,9. feb,spotify:track:655HjEK4nNzceomQVpNzgN
339,Under the Shadows,['Rae Morris'],2015 06,man 2. februar 2015,2. feb,spotify:track:6r2Ht16NrPJ6vVhNeEw69X
340,HalvnÃ¸gen,['Ulige Numre'],2015 05,man 26. januar 2015,26. jan,spotify:track:3mnQ1tgkPP6s87tNlhGz57
341,You Know You Like It,"['DJ Snake', 'AlunaGeorge']",2015 04,man 19. januar 2015,19. jan,spotify:track:57kR5SniQIbsbVoIjjOUDa
342,Wild Eyes,"['Broiler', 'RAVVEL']",2014 50,man 8. december 2014,8. dec,spotify:track:7iihR23rd2a2l9NAypVkPI
343,Hold Back the River,['James Bay'],2014 49,man 1. december 2014,1. dec,spotify:track:1KZyVnyptQcPzkx7ELCnZC
344,Desire,['Years & Years'],2014 48,man 24. november 2014,24. nov,spotify:track:20ouJW3BTG6aFAugslihCw
345,Cheerleader (Felix Jaehn Remix),['Omi'],2014 47,man 17. november 2014,17. nov,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy
346,Gold (Thomas Jack Radio Edit),['Gabriel RÃ\xados'],2014 46,man 10. november 2014,10. nov,spotify:track:6eWsgrQLZhLqy5VfGB9iFs
347,Walk,['Kwabs'],2014 45,man 3. november 2014,3. nov,spotify:track:2ZvsMMI4aOkMUo92MKQzFI
348,Cool Kids,['Echosmith'],2014 44,man 27. oktober 2014,27. okt,spotify:track:13P5rwmk2EsoFRIz9UCeh9
349,Fade Out Lines,['The Avener'],2014 43,man 20. oktober 2014,20. okt,spotify:track:1ubVPccf8Vb9mL0XYpVpCV
350,On the Way Down,['Patrick Dorgan'],2014 42,man 13. oktober 2014,13. okt,spotify:track:4Itn9WENgMbAjjWgQwEmuy
351,Cold Stone,['Kill J'],2014 41,man 6. oktober 2014,6. okt,spotify:track:1iyM4lpGv4RryKc8EZ4cnC
352,I,['Kendrick Lamar'],2014 40,man 29. september 2014,29. sep,spotify:track:7wdzLe2Gsx1RGqbvYZHASz
353,Changing,"['Sigma', 'Paloma Faith']",2014 39,man 22. september 2014,22. sep,spotify:track:1LrYRj1iFsm9QJ72YqPTLY
354,Not Impressed,['Louis Rustum'],2014 38,man 15. september 2014,15. sep,spotify:track:1HslhO653GKFPcRJjdudGC
355,Cold,"['Rae Morris', 'Fryars']",2014 37,man 8. september 2014,8. sep,spotify:track:4Cj0mTJsdoulccxtEcUF09
356,Take Me to Church,['Hozier'],2014 36,man 1. september 2014,1. sep,spotify:track:3dYD57lRAUcMHufyqn9GcI
357,Det gode liv,['S!vas'],2014 35,man 25. august 2014,25. aug,spotify:track:4xGCwN4LUqCtdBaDmvFEac
358,Ring den alarm,['Cisilia'],2014 34,man 18. august 2014,18. aug,spotify:track:0QpqgglH5ixaRLKxKYcYw3
359,Deep Seas,['Ena'],2014 26,man 23. juni 2014,23. jun,spotify:track:7x3uNCyeQz5BuNaWOnmNJp
360,Prayer In C (Robin Schulz Radio Edit),"['Lilly Wood and the Prick', 'Robin Schulz']",2014 25,man 16. juni 2014,16. jun,spotify:track:0uVyZywUNOp6S0dU5r8TS8
361,Sleepless,"['Cazzette', 'The High']",2014 24,man 9. juni 2014,9. jun,spotify:track:6AEMLsvCm4OYpN83ryOBMU
362,Uptight Downtown,['La Roux'],2014 23,man 2. juni 2014,2. jun,spotify:track:0o1WzHAdTdI0jpgghsOm2h
363,I Wanna Feel,['Secondcity'],2014 22,man 26. maj 2014,26. maj,spotify:track:1rj4TnlFsWbxjMXdCCsrzt
364,I Never Learn,['Lykke Li'],2014 21,man 19. maj 2014,19. maj,spotify:track:0H9k5RFDiHzL0WTPBk7Xz8
365,Hard Time,['Seinabo Sey'],2014 20,man 12. maj 2014,12. maj,spotify:track:3gFS9CKU70Wm7vAoA0O1uW
366,I Wanna Get Better,['Bleachers'],2014 19,man 5. maj 2014,5. maj,spotify:track:1BwhFXqoIsePt21WyWIttb
367,Hideaway,['Kiesza'],2014 18,man 28. april 2014,28. apr,spotify:track:51tUT1gHE30GQPhn1agudM
368,I Live at Night,['Giana Factory'],2014 17,man 21. april 2014,21. apr,spotify:track:5zbutvzkg9mvUvK2BmIeUY
369,Sing,['Ed Sheeran'],2014 16,man 14. april 2014,14. apr,spotify:track:6K8qKeWo5MsFED7wCR6Kop
370,Fever,['The Black Keys'],2014 15,man 7. april 2014,7. apr,spotify:track:3Hx7RXqCS7Kzjy2ot2q1Gk
371,Alting/Ingenting,['Ukendt Kunstner'],2014 14,man 31. marts 2014,31. mar,spotify:track:1I6c9aecq7oWkIKPg11kzA
372,Budapest,['George Ezra'],2014 13,man 24. marts 2014,24. mar,spotify:track:2ixsaeFioXJmMgkkbd4uj1
373,Habits (Stay High),['Tove Lo'],2014 12,man 17. marts 2014,17. mar,spotify:track:18AJRdgUoO9EYn11N7xzaT
374,Happy Home,"['Hedegaard', 'Lukas Forchhammer']",2014 11,man 10. marts 2014,10. mar,spotify:track:2TcQjAfbuvdzcQTlSsuQ2v
375,Candy Love,['Rebecca & Fiona'],2014 10,man 3. marts 2014,3. mar,spotify:track:5ihD3DXNU91jEuuhM5lmtp
376,Windy,['Scarlet Pleasure'],2014 09,man 24. februar 2014,24. feb,spotify:track:6xraWJ8FdIJ8c8HpwXhNgs
377,Det er Knud som er dÃ¸d,['The Minds of 99'],2014 08,man 17. februar 2014,17. feb,spotify:track:7AQQBWgKM06aL368PRYFHy
378,Waves (Robin Schulz Remix),['Mr. Probz'],2014 07,man 10. februar 2014,10. feb,spotify:track:2HDhsfCmbVjLHYXK32jaCC
379,Tous Les MÃªmes,['Stromae'],2014 06,man 3. februar 2014,3. feb,spotify:track:6M4nkEPZMj58acftDRTuKL
380,Money on My Mind,['Sam Smith'],2014 05,man 27. januar 2014,27. jan,spotify:track:5XX9oGZfgKMXdHnEp4t2JB
381,Prototypical,['Stine Bramsen'],2014 04,man 20. januar 2014,20. jan,spotify:track:3KhCB9hRQZW2naHrT0vQly
382,Det' kun dig,['Gregersen'],2014 03,man 13. januar 2014,13. jan,spotify:track:4CBoNawrW2sVi2TtzEX2CQ
383,Nightcall,['London Grammar'],2013 50,man 9. december 2013,9. dec,spotify:track:4MKO1xltVSQlMMZUfOMEA1
384,Ways to Go,['Grouplove'],2013 49,man 2. december 2013,2. dec,spotify:track:57nNNkgk768QVXq3uHxu5e
385,SÃ¥ kom du,['UhreWaja'],2013 48,man 25. november 2013,25. nov,spotify:track:4kxVUBg5ZWQ7wyFG5Mlr5b
386,Youth,['Foxes'],2013 47,man 18. november 2013,18. nov,spotify:track:5AozgGtATNJi2Yx5Vb2InS
387,Run,['Joel Compass'],2013 46,man 11. november 2013,11. nov,spotify:track:3J3h6I4ntgQLSSBwd39TA8
388,Give Me Nothing,['Mont Oliver'],2013 45,man 4. november 2013,4. nov,spotify:track:28JAVGx4KDHjtIfsQ6JCWI
389,Sweetest Thing,['Lulu James'],2013 44,man 28. oktober 2013,28. okt,
390,You're Nobody ‘Til Somebody Loves You,['James Arthur'],2013 43,man 21. oktober 2013,21. okt,spotify:track:6rlgy1boD69A3mcV7VzPRL
391,Bay,['Julias Moon'],2013 42,man 14. oktober 2013,14. okt,spotify:track:4XJ7cqtj8wJNFkOh2tVOLB
392,Take Me Back,['Lucy Love'],2013 41,man 7. oktober 2013,7. okt,spotify:track:2daYNwIf0ySo0ohi2TQ822
393,The Mother We Share,['Chvrches'],2013 40,man 30. september 2013,30. sep,spotify:track:31AyUvMRDvZjyQI1N05lsT
394,Lovers in the Parking Lot,['Solange'],2013 39,man 23. september 2013,23. sep,spotify:track:3jnFMHbSWFGOH3Pi6S2nLG
395,Reflektor,['Arcade Fire'],2013 38,man 16. september 2013,16. sep,spotify:track:7uMZy0bALAdneerERyr7Ks
396,Lifted,"['Naughty Boy', 'Emeli SandÃ©']",2013 37,man 9. september 2013,9. sep,spotify:track:0NH3s38UtAF7DV5OsBIF4p
397,Royals,['Lorde'],2013 36,man 2. september 2013,2. sep,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3
398,Dengang du grÃ¦d,['Shaka Loveless'],2013 35,man 26. august 2013,26. aug,spotify:track:7n14Xxtpcz7WV0vDy0rjAV
399,"Hold On, We're Going Home","['Drake', 'Majid Jordan']",2013 34,man 19. august 2013,19. aug,spotify:track:6jdOi5U5LBzQrc4c1VT983
400,C O O L,['Le Youth'],2013 27,man 1. juli 2013,1. jul,spotify:track:4L0HMiE70JyFSfOsnoHGbj
401,The Mountains,['The Mountains'],2013 26,man 24. juni 2013,24. jun,spotify:track:54Q0Utti9DbNZOFkZQ5ujT
402,Wake Me Up,"['Avicii', 'Aloe Blacc']",2013 25,man 17. juni 2013,17. jun,spotify:track:0nrRP2bk19rLc0orkWPQk2
403,Sweater Weather,['The Neighbourhood'],2013 24,man 10. juni 2013,10. jun,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6
404,BlÃ¥,['Ulige Numre'],2013 23,man 3. juni 2013,3. jun,
405,A Kid on the Beach,['Hymns From Nineveh'],2013 22,man 27. maj 2013,27. maj,spotify:track:2bnDyT1o8Mcasd203svcbt
406,Renaissance Girls,['Oh Land'],2013 21,man 20. maj 2013,20. maj,spotify:track:0TnjRVPPeXOhKUGguIibmk
407,Q.U.E.E.N.,"['Janelle MonÃ¡e', 'Erykah Badu']",2013 20,man 13. maj 2013,13. maj,spotify:track:3HW030T8eqPs8wpsgZqCGM
408,Delerium,['Bikstok'],2013 19,man 6. maj 2013,6. maj,spotify:track:0fkt3AqW7pUjXjt7ri7Jz9
409,Need U (100%),"['Duke Dumont', 'A*M*E']",2013 18,man 29. april 2013,29. apr,spotify:track:1I0mRrowc6HCoED6hoAB2q
410,Neonlys,['Ukendt Kunstner'],2013 17,man 22. april 2013,22. apr,spotify:track:1fYNJKlLilEEBAKWDKD2vC
411,Indigo,['Frida Sundemo'],2013 16,man 15. april 2013,15. apr,spotify:track:1fr5VqNwxVF4IfXjqMn0L8
412,Chocolate,['The 1975'],2013 15,man 8. april 2013,8. apr,spotify:track:4WiiRw2PHMNQE0ad6y6GdD
413,La' mig rulle dig,['Pharfar'],2013 14,man 1. april 2013,1. apr,spotify:track:1pjbAOWrtWtQUGCTdCUtlV
414,Undressed,['Kim Cesarion'],2013 13,man 25. marts 2013,25. mar,spotify:track:0jQvysmjtBMRNjmHLe3gZK
415,Pilgrim,['MÃ¸'],2013 12,man 18. marts 2013,18. mar,
416,Cape of Our Hero,['Volbeat'],2013 11,man 11. marts 2013,11. mar,spotify:track:5zWnVHt2qAA1DBLlbzesAf
417,Hey Love,['Quadron'],2013 10,man 4. marts 2013,4. mar,spotify:track:4qmRl4n5mq5GopcLQaQte3
418,Pompeii,['Bastille'],2013 09,man 25. februar 2013,25. feb,spotify:track:4Ub8UsjWuewQrPhuepfVpd
419,Fake,['Sebastian Lind'],2013 08,man 18. februar 2013,18. feb,spotify:track:6TsdE2sCil8FQ1mhxY1Hwn
420,Retrograde,['James Blake'],2013 07,man 11. februar 2013,11. feb,spotify:track:2IqjKEBiz0CdLKdkXhxw84
421,Green Garden,['Laura Mvula'],2013 06,man 4. februar 2013,4. feb,spotify:track:1SniLCGHvhHJAiGe3hLboq
422,Seraphina,['Kashmir'],2013 05,man 28. januar 2013,28. jan,spotify:track:6IPcUA3ksqCz7KWeWKWdsl
423,Please Don't Say You Love Me,['Gabrielle Aplin'],2013 04,man 21. januar 2013,21. jan,spotify:track:7hbMolAsnzDv06KeI6HP0y
424,Don't Save Me,['Haim'],2013 03,man 14. januar 2013,14. jan,spotify:track:02iCjWBd2cOMbTnMs5Zek8
425,Hvorfor lÃ¸b vi,['Peter Sommer'],2013 02,man 7. januar 2013,7. jan,spotify:track:0HZ8V7NtSrELfE1OdVrZvM
426,Radioactive,['Imagine Dragons'],2012 51,man 17. december 2012,17. dec,spotify:track:62yJjFtgkhUrXktIoSjgP2
427,Do You…,['Miguel'],2012 50,man 10. december 2012,10. dec,spotify:track:0HDJk7Sz8DpCsiJR1sjhEO
428,Ho Hey,['The Lumineers'],2012 49,man 3. december 2012,3. dec,spotify:track:1K3LRUEcUz5FMtPYyg0F45
429,Kemosabe,['Everything Everything'],2012 48,man 26. november 2012,26. nov,spotify:track:1rg9i5UE2qefjows4qWlOl
430,Nethinde,['DjÃ¤mes Braun'],2012 47,man 19. november 2012,19. nov,spotify:track:6TQGsZQWVxqhlEY1IOnPP8
431,EndelÃ¸st,['Rasmus Walter'],2012 46,man 12. november 2012,12. nov,
432,Night Light,['Jessie Ware'],2012 45,man 5. november 2012,5. nov,spotify:track:7uukdB2tB0p3l8X6FZLQVr
433,Little Numbers,['Boy'],2012 44,man 29. oktober 2012,29. okt,spotify:track:295WZ1UJn67ZaiQMWrSkys
434,Beat,['Julie Maria'],2012 43,man 22. oktober 2012,22. okt,spotify:track:5YiHkXQmiRPjtUWU9BC9QA
435,How Can I Be Sure,['Vinnie Who'],2012 42,man 15. oktober 2012,15. okt,spotify:track:08MwVtWNBDJgyHm6ftvU4y
436,Superfishyality,['Fallulah'],2012 41,man 8. oktober 2012,8. okt,spotify:track:6MyWUiE3QEtFvgVnLuVXBV
437,UopnÃ¥elig,['Marie Key'],2012 40,man 1. oktober 2012,1. okt,spotify:track:7eIqfRSUgRXSvEtcLLtoGD
438,One Day / Reckoning Song (Wankelmut Remix),['Asaf Avidan'],2012 39,man 24. september 2012,24. sep,spotify:track:68rcszAg5pbVaXVvR7LFNh
439,Dead Leaves,['The Rumour Said Fire'],2012 38,man 17. september 2012,17. sep,spotify:track:57z5DNfnGhyY4G45CfYL0x
440,I Love It,"['Icona Pop', 'Charli XCX']",2012 37,man 10. september 2012,10. sep,spotify:track:2U8NXPTXZWG2O0ye2sYRiH
441,(All Along the) Watchtower,"['Devlin', 'Ed Sheeran']",2012 36,man 3. september 2012,3. sep,spotify:track:0SBk0hNSPQ3KcROw5KLR7f
442,Hjertestarter,['Nephew'],2012 35,man 27. august 2012,27. aug,spotify:track:04NHOgkM0y4raFQD1PjQZW
443,Men hallÃ¥!,['Eric Amarillo'],2012 34,man 20. august 2012,20. aug,spotify:track:4miqs0NSDPgETanc5cZKYS
444,Flytta pÃ¥ dej,['Alina Devecerski'],2012 26,man 25. juni 2012,25. jun,spotify:track:3JO3ywp8UufIiKkszm7DkE
445,Lost in the Woods,['The Floor Is Made of Lava'],2012 25,man 18. juni 2012,18. jun,spotify:track:5bVmpXKqDSmKxk1ctwds5C
446,Lang vej igen,['Christian Hjelm'],2012 24,man 11. juni 2012,11. jun,spotify:track:4M2nnzO0b2nRGOtg6JWW00
447,Feel the Love,"['Rudimental', 'John Newman']",2012 23,man 4. juni 2012,4. jun,spotify:track:0BomfsUcw03fQPKK668Etn
448,Bang Bang (Reggaejam),['Kaka'],2012 22,man 28. maj 2012,28. maj,spotify:track:2WamvjiSvpJhXynEQMvBN9
449,Jag vill ut,['Lilla SÃ¤llskapet'],2012 21,man 21. maj 2012,21. maj,spotify:track:5oaKMbpHlfk6oaPtbaqJPc
450,Mannequin,['When Saints Go Machine'],2012 20,man 14. maj 2012,14. maj,spotify:track:4SgGna5OmhGpzsPvhGlxHy
451,See U in My Dreams,['Slowolf'],2012 19,man 7. maj 2012,7. maj,spotify:track:6ohGtFtiWl88LFJ5UQSwAj
452,On My Side,['Turboweekend'],2012 18,man 30. april 2012,30. apr,spotify:track:7Ep6AWQo64uh0XT5Vzqhjg
453,Too Close,['Alex Clare'],2012 17,man 23. april 2012,23. apr,spotify:track:4VySpxhRGy32u5zPCprzDn
454,R.I.P.,"['Rita Ora', 'Tinie Tempah']",2012 16,man 16. april 2012,16. apr,spotify:track:6JqpFboOH2bq9pzaYbkKBn
455,Hold On,['Alabama Shakes'],2012 15,man 9. april 2012,9. apr,spotify:track:3zzZVLdBKRW8JH7GhFPyvu
456,Tomgang,['Shaka Loveless'],2012 14,man 2. april 2012,2. apr,spotify:track:6rIeYmk5oDB7QoJNRJVOgS
457,I'm Getting Ready,['Michael Kiwanuka'],2012 13,man 26. marts 2012,26. mar,spotify:track:5TWbNkeJnYkcT04J81apOr
458,Forget,['Lianne La Havas'],2012 12,man 19. marts 2012,19. mar,spotify:track:0rlwXmsvGIE3l8qEoM2PlJ
459,Lose Yourself To Jenny,"['Kasper BjÃ¸rke', 'Jacob Bellens']",2012 11,man 12. marts 2012,12. mar,spotify:track:4MIUhQhL1Ua6t1RIqvqzVY
460,Disparate Youth,['Santigold'],2012 10,man 5. marts 2012,5. mar,spotify:track:7d23MhPFE9eB3U8DPRirnL
