,title,artist,week,time_wide,time_narrow,uri
106,Who's That What's That,['Niko B'],2020 34,man 17. august 2020,17. aug,spotify:track:6pRlNmiZ15mI0D0Y9VBjDe
107,Pressure,['Koffee'],2020 33,man 10. august 2020,10. aug,spotify:track:3b2IVvQUr7cIBGReeV9MYW
108,Jesus,['Tobias Rahim'],2020 27,man 29. juni 2020,29. jun,spotify:track:41YkcLQn2NEuzhspZIRlbg
109,Ud af dig,['HÃ¸ker'],2020 26,man 22. juni 2020,22. jun,
110,Den vÃ¦rste,['Artigeardit'],2020 25,man 15. juni 2020,15. jun,spotify:track:5UhnNbuteXdxGP2cCw7lM9
111,The Game,['Dopha'],2020 24,man 8. juni 2020,8. jun,spotify:track:364mT4h3GcKYrfkdR6kLK4
112,Faded,['Izzy Bizu'],2020 23,man 1. juni 2020,1. jun,spotify:track:3FMyC1ElB2UcLMBZQ4EKLJ
113,Happiness in Liquid Form,['Alfie Templeman'],2020 22,man 25. maj 2020,25. maj,spotify:track:6PftSaJIUfDKLoxCHpBvqs
114,Never Lie,['Rangleklods'],2020 21,man 18. maj 2020,18. maj,spotify:track:5ikdJfdRLB50I2FWcUE0Uw
115,Bando,['Anna'],2020 20,man 11. maj 2020,11. maj,spotify:track:0kzGjSRHGVcaWxagzQwAyD
116,Svag,['Victor Leksell'],2020 19,man 4. maj 2020,4. maj,spotify:track:4SS4YfDAEQG0fZAe1xfgn3
117,Your Love (DÃ©jÃ  Vu),['Glass Animals'],2020 18,man 27. april 2020,27. apr,spotify:track:5DYD4zlGiFlkpLaf2Bk8Vl
118,City of Angels,['24kGoldn'],2020 17,man 20. april 2020,20. apr,spotify:track:6ap9lSRJ0iLriGLqoJ44cq
119,Protection,['Springer'],2020 16,man 13. april 2020,13. apr,spotify:track:20x5KEurj9HNQeVWnDqDSd
120,Break My Heart,['Dua Lipa'],2020 15,man 6. april 2020,6. apr,spotify:track:017PF4Q3l4DBUiWoXk4OWT
121,Supalonely,"['Benee', 'Gus Dapperton']",2020 14,man 30. marts 2020,30. mar,spotify:track:4nK5YrxbMGZstTLbvj6Gxw
122,Nudes,['Jada'],2020 13,man 23. marts 2020,23. mar,spotify:track:2SKMHFKKWqQUvG8WFab9T1
123,Modern Loneliness,['Lauv'],2020 12,man 16. marts 2020,16. mar,spotify:track:18ioFJkxW5B0hOXE0l2ddw
124,Sunday Best,['Surfaces'],2020 11,man 9. marts 2020,9. mar,spotify:track:1Cv1YLb4q0RzL6pybtaMLo
125,Death Bed,"['Powfu', 'Beabadoobee']",2020 10,man 2. marts 2020,2. mar,spotify:track:7eJMfftS33KTjuF7lTsMCx
126,How Will I Rest in Peace if I'm Buried by a Highway?,['KennyHoopla'],2020 09,man 24. februar 2020,24. feb,spotify:track:4jFLw7QqWlv3lZr980HyYW
127,Know Your Worth,"['Khalid', 'Disclosure']",2020 08,man 17. februar 2020,17. feb,spotify:track:0TrPqhAMoaKUFLR7iYDokf
128,Sugar,['Brockhampton'],2020 07,man 10. februar 2020,10. feb,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA
129,Gutterne,"['Specktors', 'Nonsens']",2020 06,man 3. februar 2020,3. feb,spotify:track:4xTlom5tmNmAvQ1FCgtfyM
130,Flammer rammer,['Patina'],2020 05,man 27. januar 2020,27. jan,spotify:track:5p3Mqwfuya1KKbeGMtv08t
131,Stop This Flame,['Celeste'],2020 04,man 20. januar 2020,20. jan,spotify:track:1bObrsJGW0UCIGZkvnDqbe
132,DjÃ¦vlen,['Joyce'],2020 03,man 13. januar 2020,13. jan,
133,Deal Wiv It,"['Mura Masa', 'Slowthai']",2020 02,man 6. januar 2020,6. jan,spotify:track:3ndhPhaWdICplZVrC4NeCR
134,Olympisk,['Ganger'],2019 50,man 9. december 2019,9. dec,spotify:track:0oQESaqgT0BwhvNHQonTRc
135,Own It,"['Stormzy', 'Ed Sheeran', 'Burna Boy']",2019 49,man 2. december 2019,2. dec,spotify:track:4QPEwDdOMhY7rNS05mTyMR
136,Soliloquy (Wouldn't Feel Alone),['Marshall Cecil'],2019 48,man 25. november 2019,25. nov,spotify:track:2kwg6oZ6w7y9VgrzfN3cA8
137,Som fluer,['The Minds of 99'],2019 47,man 18. november 2019,18. nov,spotify:track:7KqQcYKkRT7GylPtCxaCPo
138,Now I'm in It,['Haim'],2019 46,man 11. november 2019,11. nov,spotify:track:1DR2KXb0UvibcLsdDGVwwt
139,Dilemme,['Lous and the Yakuza'],2019 45,man 4. november 2019,4. nov,spotify:track:1sRQzflFI4OooCN1dQK9NG
140,Hot Girl Bummer,['Blackbear'],2019 44,man 28. oktober 2019,28. okt,spotify:track:6jRq8gaZhMUyy5RclRPcAf
141,You Can't Stop the Girl,['Bebe Rexha'],2019 43,man 21. oktober 2019,21. okt,spotify:track:1i3z3GR1JtLswOSJNO0BQw
142,Nice to Meet Ya,['Niall Horan'],2019 42,man 14. oktober 2019,14. okt,spotify:track:3cphb8kdsjElYR7r5icK3H
143,Good as Hell,['Lizzo'],2019 41,man 7. oktober 2019,7. okt,spotify:track:6KgBpzTuTRPebChN0VTyzV
144,So Hot You're Hurting My Feelings,['Caroline Polachek'],2019 40,man 30. september 2019,30. sep,spotify:track:5B6Kjha6RRIMWGN7zGsAaT
145,Hun kommer tilbage,['Jung'],2019 39,man 23. september 2019,23. sep,spotify:track:5DbD9hQ5M3pauLtbnpytgS
146,10/10,['Rex Orange County'],2019 38,man 16. september 2019,16. sep,spotify:track:4tVphly4D1PB8tJC9gHMcJ
147,Costa Del Sol til KÃ¸benhavn,['Tobias Rahim'],2019 37,man 9. september 2019,9. sep,
148,HÃ¸rer dem ikke,['Bette'],2019 36,man 2. september 2019,2. sep,spotify:track:2aSPPmmf7Wop2sBSHs9XvK
149,The Everyday Bit,['Calby'],2019 35,man 26. august 2019,26. aug,spotify:track:3HSRctWq47r29GAQSrZHiy
